SaleID,price
150000,37547.723
150001,187.45424
150002,5584.3267
150003,11519.172
150004,648.1194
150005,1991.8457
150006,4726.4863
150007,10385.24
150008,5430.7104
150009,2402.1543
150010,5618.347
150011,6682.6235
150012,2921.5444
150013,11772.438
150014,11748.253
150015,149.81557
150016,625.6635
150017,6344.479
150018,9917.344
150019,1408.9409
150020,4854.201
150021,12283.946
150022,1425.6954
150023,15452.971
150024,1230.0052
150025,5875.9976
150026,1785.147
150027,4007.256
150028,22652.936
150029,16916.18
150030,1856.0826
150031,164.66104
150032,4046.713
150033,2882.9985
150034,3744.969
150035,7423.2544
150036,1164.2012
150037,3936.4304
150038,26627.668
150039,1654.939
150040,13661.772
150041,5089.1978
150042,17651.855
150043,25675.447
150044,7165.2563
150045,2347.4646
150046,2943.3335
150047,46289.312
150048,1290.6407
150049,36186.195
150050,4937.497
150051,9747.337
150052,1259.4802
150053,667.9269
150054,13714.609
150055,4090.78
150056,914.0579
150057,2734.2021
150058,1216.402
150059,2373.4556
150060,9210.832
150061,2866.7297
150062,1163.013
150063,12032.859
150064,20956.686
150065,10199.024
150066,12001.842
150067,3550.776
150068,1021.5428
150069,2611.236
150070,1771.413
150071,632.19586
150072,1109.7417
150073,22928.41
150074,267.44873
150075,1036.7299
150076,2578.7546
150077,5317.4985
150078,2986.8118
150079,4782.994
150080,2852.337
150081,8119.5405
150082,15229.264
150083,463.84354
150084,3710.072
150085,3587.8164
150086,36348.688
150087,227.14629
150088,2744.662
150089,3021.357
150090,913.81555
150091,6807.076
150092,5339.305
150093,925.457
150094,11158.76
150095,153.0475
150096,14589.925
150097,8244.287
150098,505.62604
150099,343.6494
150100,421.63507
150101,4346.409
150102,1629.5758
150103,2922.7102
150104,4321.002
150105,951.5786
150106,2288.025
150107,642.1743
150108,7511.8896
150109,2309.1953
150110,3069.9773
150111,11448.503
150112,11315.758
150113,2061.1887
150114,1034.4745
150115,2620.5615
150116,6961.3457
150117,2680.0898
150118,21670.998
150119,9408.01
150120,14474.352
150121,1846.393
150122,8366.825
150123,147.89789
150124,13683.572
150125,4244.9507
150126,2082.6785
150127,15788.098
150128,29678.506
150129,3185.8604
150130,2836.4736
150131,950.4332
150132,3937.4138
